kind	cat	name	files	depth	chain
wrapper	A	note_queue_marker_removed_delivery	src/services/discord/turn_view_reconciler.rs	6	apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_start_rolled_back_to_queued_delivery	src/services/discord/turn_view_reconciler.rs	7	apply_diff → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_state_delivery	src/services/discord/turn_view_reconciler/resolution.rs	9	note_state_delivery_with_attempt → note_state_delivery_with_clear_attempt_guard → apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_state_delivery_with_attempt	src/services/discord/turn_view_reconciler/resolution.rs	8	note_state_delivery_with_clear_attempt_guard → apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_state_delivery_with_clear_attempt_guard	src/services/discord/turn_view_reconciler/resolution.rs	7	apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_tui_anchor_completed_delivery	src/services/discord/turn_view_reconciler/api.rs	11	note_tui_anchor_delivery → note_state_delivery → note_state_delivery_with_attempt → note_state_delivery_with_clear_attempt_guard → apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_tui_anchor_delivery	src/services/discord/turn_view_reconciler/api.rs	10	note_state_delivery → note_state_delivery_with_attempt → note_state_delivery_with_clear_attempt_guard → apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_tui_anchor_failed_delivery	src/services/discord/turn_view_reconciler/api.rs	11	note_tui_anchor_delivery → note_state_delivery → note_state_delivery_with_attempt → note_state_delivery_with_clear_attempt_guard → apply_unknown_clear → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_turn_completed_footer	src/services/discord/footer_view_reconciler/mod.rs	2	edit_channel_message → .edit_message
wrapper	A	note_untracked_reaction	src/services/discord/turn_view_reconciler.rs	6	apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	note_untracked_reaction_added	src/services/discord/turn_view_reconciler.rs	7	note_untracked_reaction → apply_reaction → try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	notify_blocked_intake	src/services/discord/router/intake_dispatch/notice.rs	2	send_channel_message → .send_message
wrapper	A	notify_dispatch	src/services/dispatches/outbox_queue.rs	11	send_dispatch_to_discord_with_pg_result → send_dispatch_with_delivery_guard → send_dispatch_within_deadline → send_dispatch → send_dispatch_to_discord_inner_with_context_pg → post_dispatch_message_to_channel_with_delivery → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	notify_pending_reaction_failure	src/services/discord/router/intake_gate/queue_effects.rs	9	notify_pending_reaction_failure_http → ensure_queue_reaction_or_fallback_http → send_reaction_control_reply_http → send_referenced_lifecycle_notice → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	notify_pending_reaction_failure_http	src/services/discord/router/intake_gate/queue_effects.rs	8	ensure_queue_reaction_or_fallback_http → send_reaction_control_reply_http → send_referenced_lifecycle_notice → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	notify_source_agent	src/services/discord/discord_io.rs	6	deliver_channel_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	notify_voice_alert	src/services/discord/commands/voice/alert.rs	2	post_raw_message_once → REST:channels/{channel_id}/messages
wrapper	A	persist_stream_tick_state_with_candidate_cleanup	src/services/discord/turn_bridge/stream_tick/guarded_persist.rs	4	persist_stream_tick_state_with_candidate_cleanup_mode → discard_pending_current_message_candidate → cleanup_unbound_bridge_anchor → .delete_message
wrapper	A	persist_stream_tick_state_with_candidate_cleanup_mode	src/services/discord/turn_bridge/stream_tick/guarded_persist.rs	3	discard_pending_current_message_candidate → cleanup_unbound_bridge_anchor → .delete_message
wrapper	A	post_card	src/services/discord/task_notification_delivery/gateway.rs	6	send_outbound_message_with_nonce_classified → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	post_chunk	src/services/discord/task_notification_delivery/response_chunks.rs	2	send_channel_message_with_nonce → .send_message
wrapper	A	post_dispatch_completion_summary	src/services/dispatches/outbox_route.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
